name,location,edition,restaurant_url,address,lat,lon
Kanada-Ya Ramen Bar,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/kanada-ya-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 8, Mitre Way, Mitre Way Industrial Area, London, W106AU",51.5245604,-0.2304484
KKINI Korean Restaurant,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/kkini-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"Maida Vale Deliveroo Editions site, 8, Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham, London, Greater London, England, W10 6AU, United Kingdom, London, W106AU, London, W106AU",51.5245604,-0.2304484
Remedy Kitchen,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/remedy-kitchen-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
Tao Tao Ju ,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/tao-tao-ju-editions-acton?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
WING·STOP,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/wingstop-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
Yacob's Kitchen ,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/jacobs-kitchen-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, W3 7QE, London, W37QE",51.50484772,-0.257361141
Rice Bowl Company,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/rum-and-rice?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate,, London, W37QE",51.50484772,-0.257361141
Bronson's Burgers ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/bronsons-burgers-editions-brc?day=today&geohash=gcpv4ezcruym&time=ASAP,"2 Phoenix Industrial Estate Apsley Way, London, NW27LN",51.56704439,-0.239066055
Patri Artisan Street Food and Drinks,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/patri-artisan-street-food-and-drinks?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London,, London, W37QE",51.50484772,-0.257361141
Mindful Chef,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/mindful-chef-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 8, Mitre Way, White City, London, W106AU",51.5245604,-0.2304484
TRIP CBD Store,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/trip-cbd-store-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
