,name,location,timestamps,timestamp_urls,restaurant_url
132,Pleesecakes - cheesecake,battersea-york-road,"['20200922', '20210117', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/pleesecakes-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
133,The Great British Cheesecake Company,battersea-york-road,"['20200922', '20210117', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/london-the-great-british-cheesecake-company-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
134,The Ice Cream Store - Wandsworth,battersea-york-road,"['20200922', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/the-ice-cream-store-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
135,Halo Top,battersea-york-road,"['20200922', '20210117', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/halo-top-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
136,Ice Kitchen,battersea-york-road,"['20200922', '20200920', '20210117']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/ice-kitchen-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
137,Rice Wave,battersea-york-road,"['20200922', '20210624', '20200920', '20210117', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/rice-wave-editions-cla?day=today&geohash=gcpugcwkyb25&time=1215
138,Dishoom ,culvert-place-editions,"['20200922', '20210117', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/culvert-place-editions/dishoom-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1230
139,Ahi Poké,culvert-place-editions,"['20200922', '20210117', '20201023', '20210624', '20200920', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/culvert-place-editions/ahi-poke-editions-cla?day=today&geohash=gcpugcwkyb25&time=1230
140,PINZA! ,battersea-york-road,"['20200922', '20210117', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/pinza-battersea?day=today&geohash=gcpugcwkyb25&time=1230
141,Lolo Poke,queenstown-road,"['20200922', '20210117', '20210624', '20200920', '20220524']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/queenstown-road/lolo-poke-editions-bqr?day=today&geohash=gcpugcwkyb25&time=1230
